product_id,category,material_cost,labor_cost,complexity_level,region,season,final_selling_price
P00002,sarees,471.44,264.17,simple,Tamil Nadu,Summer_Festival,1196.57
P00003,dress,327.28,122.19,complex,Odisha,Wedding,1326.71
P00004,bamboo_cane,123.96,57.01,simple,Rajasthan,Diwali,246.02
P00005,jewelry,360.04,231.86,medium,Uttar Pradesh,Summer_Festival,1339.33
P00006,home_decor,340.72,212.39,simple,Uttar Pradesh,Diwali,855.71
P00007,metalwork,525.79,286.03,simple,Uttar Pradesh,Regular,1298.88
P00008,jewelry,448.14,190.32,very_complex,Uttar Pradesh,Wedding,2461.53
P00009,handmade_food,105.81,50.78,medium,Tamil Nadu,Regular,259.09
P00010,woodwork,542.27,275.65,medium,Maharashtra,Summer_Festival,1829.16
P00011,metalwork,605.81,268.19,medium,West Bengal,Regular,1629.63
P00012,home_decor,84.22,39.53,simple,Tamil Nadu,Diwali,195.05
P00013,dress,694.8,411.05,simple,Gujarat,Regular,1865.35
P00015,pottery,69.02,40.85,simple,Maharashtra,Wedding,189.66
P00016,bags_accessories,391.51,250.4,medium,Gujarat,Diwali,1503.32
P00017,sarees,927.28,436.76,complex,Maharashtra,Regular,3358.03
P00018,jewelry,291.46,146.73,simple,Maharashtra,Diwali,871.99
P00019,sarees,543.67,368.14,medium,Maharashtra,Regular,2054.94
P00020,jewelry,513.65,284.23,simple,West Bengal,Wedding,1645.74
P00021,woodwork,684.46,450.67,complex,Gujarat,Summer_Festival,2756.41
P00022,pottery,30.06,13.26,simple,Gujarat,Wedding,69.94
P00023,bamboo_cane,75.54,26.28,medium,Rajasthan,Wedding,199.78
P00024,bags_accessories,209.09,144.0,simple,Rajasthan,Summer_Festival,607.55
P00025,sarees,641.81,202.01,medium,Rajasthan,Diwali,2191.56
P00026,textile,203.52,112.7,medium,Maharashtra,Diwali,734.75
P00027,metalwork,475.98,158.19,medium,Odisha,Summer_Festival,1264.61
P00028,pottery,148.01,68.02,complex,Tamil Nadu,Summer_Festival,540.26
P00029,pottery,113.5,73.02,simple,Gujarat,Wedding,302.45
P00030,woodwork,335.9,187.46,simple,Gujarat,Regular,733.91
P00031,pottery,130.53,74.44,medium,Maharashtra,Wedding,468.71
P00032,textile,177.38,100.04,very_complex,Odisha,Wedding,1062.07
P00033,home_decor,348.99,239.47,medium,Rajasthan,Wedding,1300.18
P00034,bags_accessories,310.11,198.06,simple,Rajasthan,Regular,816.58
P00035,bamboo_cane,189.7,116.5,complex,Uttar Pradesh,Regular,658.42
P00036,jewelry,588.15,243.24,medium,Rajasthan,Regular,1661.97
P00037,textile,152.78,46.94,medium,Tamil Nadu,Diwali,447.33
P00038,woodwork,594.57,313.53,medium,Maharashtra,Regular,1626.89
P00039,jewelry,415.44,287.3,medium,Odisha,Wedding,1749.39
P00040,dress,551.85,292.9,medium,West Bengal,Diwali,2017.62
P00041,metalwork,163.37,91.19,simple,Gujarat,Summer_Festival,375.04
P00042,metalwork,674.19,291.45,complex,Uttar Pradesh,Diwali,2693.29
P00043,jewelry,287.56,108.23,very_complex,Uttar Pradesh,Regular,1207.88
P00044,jewelry,571.27,330.43,simple,Rajasthan,Wedding,1755.52
P00045,dress,451.05,181.17,simple,Maharashtra,Wedding,1164.16
P00046,handmade_food,93.22,41.37,complex,Rajasthan,Diwali,308.65
P00047,sarees,1033.82,343.89,medium,West Bengal,Diwali,3154.94
P00048,woodwork,621.18,384.09,complex,Rajasthan,Summer_Festival,2730.88
P00049,sarees,826.17,469.93,simple,West Bengal,Wedding,2553.17
P00050,handmade_food,83.17,25.97,medium,Tamil Nadu,Wedding,200.86
P00051,bamboo_cane,92.26,58.23,simple,Gujarat,Summer_Festival,196.03
P00052,metalwork,256.91,119.35,medium,Odisha,Diwali,877.43
P00053,dress,561.41,240.95,complex,Tamil Nadu,Wedding,2610.37
P00054,jewelry,161.41,110.58,medium,Maharashtra,Wedding,724.51
P00055,home_decor,327.11,156.01,medium,Rajasthan,Wedding,1000.22
P00056,bamboo_cane,142.12,72.01,complex,Tamil Nadu,Diwali,528.29
P00057,metalwork,286.25,126.63,medium,Maharashtra,Regular,846.64
P00058,home_decor,105.42,44.76,simple,Uttar Pradesh,Diwali,264.98
P00059,metalwork,420.39,205.73,medium,West Bengal,Wedding,1369.36
P00060,metalwork,499.3,158.84,medium,West Bengal,Wedding,1501.43
P00061,handmade_food,89.28,32.6,very_complex,Rajasthan,Summer_Festival,304.16
P00063,jewelry,395.53,267.61,medium,Rajasthan,Diwali,1550.1
P00064,pottery,62.88,24.26,medium,Gujarat,Summer_Festival,162.44
P00065,jewelry,445.08,202.14,medium,Maharashtra,Diwali,1604.38
P00066,textile,307.87,135.26,simple,Maharashtra,Summer_Festival,758.88
P00067,dress,397.42,147.43,complex,Tamil Nadu,Diwali,1684.44
P00068,jewelry,262.51,139.71,very_complex,Uttar Pradesh,Wedding,1657.93
P00069,metalwork,556.95,220.16,simple,Maharashtra,Diwali,1307.73
P00070,pottery,65.72,22.34,medium,Rajasthan,Wedding,175.15
P00071,home_decor,338.34,193.09,complex,Rajasthan,Regular,1186.24
P00072,handmade_food,56.39,24.33,medium,Tamil Nadu,Diwali,162.29
P00073,woodwork,254.72,126.79,very_complex,Rajasthan,Regular,1043.25
P00074,handmade_food,61.58,21.36,medium,Maharashtra,Diwali,149.68
P00075,handmade_food,105.46,49.61,complex,Rajasthan,Diwali,350.35
P00076,home_decor,101.96,34.05,complex,West Bengal,Wedding,401.18
P00077,pottery,138.92,74.57,complex,Rajasthan,Regular,463.89
P00078,jewelry,340.9,225.86,complex,Odisha,Regular,1338.08
P00079,jewelry,407.16,242.83,simple,West Bengal,Summer_Festival,1150.34
P00080,home_decor,144.13,66.31,complex,Gujarat,Diwali,539.68
P00081,home_decor,340.07,103.67,complex,Odisha,Diwali,1250.5
P00082,metalwork,655.51,262.99,simple,Tamil Nadu,Regular,1431.6
P00083,home_decor,267.85,129.05,medium,Rajasthan,Diwali,851.9
P00084,bamboo_cane,186.44,127.43,medium,Maharashtra,Diwali,556.07
P00085,bamboo_cane,84.38,31.66,medium,Uttar Pradesh,Diwali,223.89
P00086,handmade_food,62.43,25.22,simple,Uttar Pradesh,Summer_Festival,118.52
P00087,pottery,102.33,41.79,simple,Tamil Nadu,Summer_Festival,196.31
P00088,jewelry,476.57,259.91,complex,West Bengal,Regular,1854.56
P00089,dress,315.38,146.49,complex,Gujarat,Diwali,1435.24
P00090,textile,278.24,125.86,very_complex,Rajasthan,Regular,1326.24
P00091,bags_accessories,111.05,39.26,medium,Rajasthan,Wedding,317.51
P00093,metalwork,357.82,141.85,complex,West Bengal,Wedding,1354.16
P00094,pottery,57.44,32.66,very_complex,Tamil Nadu,Summer_Festival,271.15
P00095,dress,533.35,337.37,simple,West Bengal,Wedding,1607.51
P00096,pottery,135.2,62.38,medium,Tamil Nadu,Wedding,399.93
P00098,textile,217.67,103.39,medium,West Bengal,Wedding,812.01
P00099,woodwork,746.28,312.83,medium,Rajasthan,Summer_Festival,2178.76
P00100,pottery,141.19,70.15,very_complex,Uttar Pradesh,Wedding,675.77
P00101,dress,443.19,170.03,simple,Odisha,Diwali,1146.3
P00102,bags_accessories,138.41,49.93,simple,Rajasthan,Regular,262.1
P00103,dress,488.16,317.17,simple,Uttar Pradesh,Summer_Festival,1357.08
P00104,textile,346.54,151.8,medium,Gujarat,Regular,942.15
P00105,bamboo_cane,113.72,43.5,simple,Rajasthan,Diwali,228.66
P00106,handmade_food,101.95,56.19,medium,Rajasthan,Wedding,293.88
P00107,bags_accessories,183.06,113.95,very_complex,Tamil Nadu,Diwali,1075.56
P00108,woodwork,490.71,268.57,simple,Maharashtra,Summer_Festival,1164.51
P00109,dress,303.42,107.18,complex,West Bengal,Wedding,1308.58
P00110,sarees,428.61,205.29,medium,Maharashtra,Summer_Festival,1480.56
P00111,home_decor,232.27,147.79,complex,Uttar Pradesh,Wedding,937.67
P00112,home_decor,263.36,162.14,complex,Uttar Pradesh,Diwali,1095.75
