material_cost,labor_cost,base_cost,trend_multiplier,category_encoded,complexity_level_encoded,region_encoded,season_encoded,final_selling_price
471.44,264.17,735.61,0.98,8,2,4,2,1196.57
327.28,122.19,449.46999999999997,0.996,2,0,2,3,1326.71
123.96,57.01,180.97,1.09,1,2,3,0,246.02
360.04,231.86,591.9000000000001,0.925,5,1,5,2,1339.33
340.72,212.39,553.11,1.002,4,2,5,0,855.71
525.79,286.03,811.8199999999999,0.963,6,2,5,1,1298.88
448.14,190.32,638.46,1.143,5,3,5,3,2461.53
105.81,50.78,156.59,0.95,3,1,4,1,259.09
542.27,275.65,817.92,0.972,10,1,1,2,1829.16
605.81,268.19,874.0,0.963,6,1,6,1,1629.63
84.22,39.53,123.75,1.002,4,2,4,0,195.05
694.8,411.05,1105.85,0.983,2,2,0,1,1865.35
69.02,40.85,109.87,1.14,7,2,1,3,189.66
391.51,250.4,641.91,1.056,0,1,0,0,1503.32
927.28,436.76,1364.04,0.914,8,0,1,1,3358.03
291.46,146.73,438.18999999999994,1.021,5,2,1,0,871.99
543.67,368.14,911.81,0.914,8,1,1,1,2054.94
513.65,284.23,797.88,1.143,5,2,6,3,1645.74
684.46,450.67,1135.13,0.972,10,0,0,2,2756.41
30.06,13.26,43.32,1.14,7,2,0,3,69.94
75.54,26.28,101.82000000000001,1.164,1,1,3,3,199.78
209.09,144.0,353.09000000000003,0.875,0,2,3,2,607.55
641.81,202.01,843.8199999999999,1.077,8,1,3,0,2191.56
203.52,112.7,316.22,1.034,9,1,1,0,734.75
475.98,158.19,634.1700000000001,0.891,6,1,2,2,1264.61
148.01,68.02,216.02999999999997,0.962,7,0,4,2,540.26
113.5,73.02,186.51999999999998,1.14,7,2,0,3,302.45
335.9,187.46,523.36,0.991,10,2,0,1,733.91
130.53,74.44,204.97,1.14,7,1,1,3,468.71
177.38,100.04,277.42,1.062,9,3,2,3,1062.07
348.99,239.47,588.46,1.065,4,1,3,3,1300.18
310.11,198.06,508.17,0.902,0,2,3,1,816.58
189.7,116.5,306.2,0.863,1,0,5,1,658.42
588.15,243.24,831.39,0.831,5,1,3,1,1661.97
152.78,46.94,199.72,1.034,9,1,4,0,447.33
594.57,313.53,908.1,0.991,10,1,1,1,1626.89
415.44,287.3,702.74,1.143,5,1,2,3,1749.39
551.85,292.9,844.75,1.067,2,1,6,0,2017.62
163.37,91.19,254.56,0.891,6,2,0,2,375.04
674.19,291.45,965.6400000000001,1.079,6,0,5,0,2693.29
287.56,108.23,395.79,0.831,5,3,5,1,1207.88
571.27,330.43,901.7,1.143,5,2,3,3,1755.52
451.05,181.17,632.22,0.996,2,2,1,3,1164.16
93.22,41.37,134.59,0.987,3,0,3,0,308.65
1033.82,343.89,1377.71,1.077,8,1,6,0,3154.94
621.18,384.09,1005.27,0.972,10,0,3,2,2730.88
826.17,469.93,1296.1,1.043,8,2,6,3,2553.17
83.17,25.97,109.14,1.077,3,1,4,3,200.86
92.26,58.23,150.49,0.906,1,2,0,2,196.03
256.91,119.35,376.26,1.079,6,1,2,0,877.43
561.41,240.95,802.3599999999999,0.996,2,0,4,3,2610.37
161.41,110.58,271.99,1.143,5,1,1,3,724.51
327.11,156.01,483.12,1.065,4,1,3,3,1000.22
142.12,72.01,214.13,1.09,1,0,4,0,528.29
286.25,126.63,412.88,0.963,6,1,1,1,846.64
105.42,44.76,150.18,1.002,4,2,5,0,264.98
420.39,205.73,626.12,1.089,6,1,6,3,1369.36
499.3,158.84,658.14,1.089,6,1,6,3,1501.43
89.28,32.6,121.88,0.976,3,3,3,2,304.16
395.53,267.61,663.14,1.021,5,1,3,0,1550.1
62.88,24.26,87.14,0.962,7,1,0,2,162.44
445.08,202.14,647.22,1.021,5,1,1,0,1604.38
307.87,135.26,443.13,0.936,9,2,1,2,758.88
397.42,147.43,544.85,1.067,2,0,4,0,1684.44
262.51,139.71,402.22,1.143,5,3,5,3,1657.93
556.95,220.16,777.11,1.079,6,2,1,0,1307.73
65.72,22.34,88.06,1.14,7,1,3,3,175.15
338.34,193.09,531.43,0.97,4,0,3,1,1186.24
56.39,24.33,80.72,0.987,3,1,4,0,162.29
254.72,126.79,381.51,0.991,10,3,3,1,1043.25
61.58,21.36,82.94,0.987,3,1,1,0,149.68
105.46,49.61,155.07,0.987,3,0,3,0,350.35
101.96,34.05,136.01,1.065,4,0,6,3,401.18
138.92,74.57,213.48999999999998,0.911,7,0,3,1,463.89
340.9,225.86,566.76,0.831,5,0,2,1,1338.08
407.16,242.83,649.99,0.925,5,2,6,2,1150.34
144.13,66.31,210.44,1.002,4,0,0,0,539.68
340.07,103.67,443.74,1.002,4,0,2,0,1250.5
655.51,262.99,918.5,0.963,6,2,4,1,1431.6
267.85,129.05,396.90000000000003,1.002,4,1,3,0,851.9
186.44,127.43,313.87,1.09,1,1,1,0,556.07
84.38,31.66,116.03999999999999,1.09,1,1,5,0,223.89
62.43,25.22,87.65,0.976,3,2,5,2,118.52
102.33,41.79,144.12,0.962,7,2,4,2,196.31
476.57,259.91,736.48,0.831,5,0,6,1,1854.56
315.38,146.49,461.87,1.067,2,0,0,0,1435.24
278.24,125.86,404.1,0.953,9,3,3,1,1326.24
111.05,39.26,150.31,1.172,0,1,3,3,317.51
357.82,141.85,499.66999999999996,1.089,6,0,6,3,1354.16
57.44,32.66,90.1,0.962,7,3,4,2,271.15
533.35,337.37,870.72,0.996,2,2,6,3,1607.51
135.2,62.38,197.57999999999998,1.14,7,1,4,3,399.93
217.67,103.39,321.06,1.062,9,1,6,3,812.01
746.28,312.83,1059.11,0.972,10,1,3,2,2178.76
141.19,70.15,211.34,1.14,7,3,5,3,675.77
443.19,170.03,613.22,1.067,2,2,2,0,1146.3
138.41,49.93,188.34,0.902,0,2,3,1,262.1
488.16,317.17,805.33,0.963,2,2,5,2,1357.08
346.54,151.8,498.34000000000003,0.953,9,1,0,1,942.15
113.72,43.5,157.22,1.09,1,2,3,0,228.66
101.95,56.19,158.14,1.077,3,1,3,3,293.88
183.06,113.95,297.01,1.056,0,3,4,0,1075.56
490.71,268.57,759.28,0.972,10,2,1,2,1164.51
303.42,107.18,410.6,0.996,2,0,6,3,1308.58
428.61,205.29,633.9,0.98,8,1,1,2,1480.56
232.27,147.79,380.06,1.065,4,0,5,3,937.67
263.36,162.14,425.5,1.002,4,0,5,0,1095.75
647.26,305.94,953.2,0.991,10,1,6,1,1720.29
244.04,97.06,341.1,1.065,4,2,5,3,572.85
56.29,20.33,76.62,1.09,1,1,3,0,141.35
683.52,220.27,903.79,1.155,10,0,2,3,2781.12
598.76,394.37,993.13,0.925,5,1,4,2,2201.96
177.37,65.34,242.71,1.172,0,0,2,3,722.58
208.69,132.61,341.3,0.962,4,0,0,2,755.39
75.68,30.04,105.72,0.976,3,2,0,2,133.19
75.55,50.83,126.38,0.987,3,0,2,0,291.46
210.49,68.48,278.97,0.925,5,2,6,2,514.6
677.05,409.0,1086.05,0.983,2,0,3,1,2833.47
274.69,175.88,450.57,0.996,2,1,0,3,1179.95
161.5,72.95,234.45,1.034,9,2,0,0,438.92
172.47,103.52,275.99,0.906,1,2,4,2,399.3
449.34,228.82,678.16,0.831,5,2,4,1,1054.42
63.92,31.01,94.93,0.976,3,1,1,2,161.76
726.43,331.68,1058.11,1.077,8,1,3,0,2706.32
214.29,144.85,359.14,0.963,6,3,0,1,1104.94
815.04,406.03,1221.07,0.983,2,1,5,1,2662.48
193.52,77.29,270.81,1.056,0,0,2,0,783.9
726.06,317.17,1043.23,0.913,10,1,6,0,2489.76
501.37,258.68,760.05,0.972,10,1,5,2,1551.96
584.69,337.7,922.3900000000001,0.991,10,0,6,1,2232.65
387.72,169.44,557.1600000000001,0.902,0,1,5,1,1027.22
484.02,258.7,742.72,0.914,8,1,2,1,1643.34
331.67,174.48,506.15,0.97,4,2,5,1,736.48
739.87,332.77,1072.6399999999999,0.996,2,2,1,3,1881.91
559.81,195.44,755.25,1.143,5,0,3,3,2197.58
112.88,73.14,186.01999999999998,0.95,3,0,2,1,388.38
720.97,275.58,996.55,1.067,2,1,1,0,2520.95
78.37,52.35,130.72,0.976,3,2,1,2,172.95
276.12,86.46,362.58,1.034,9,1,0,0,880.21
107.03,71.28,178.31,0.906,1,2,1,2,236.69
299.06,111.02,410.08,1.172,0,1,5,3,1048.07
94.21,35.21,129.42,0.962,7,1,2,2,237.41
546.17,205.51,751.68,1.043,8,1,0,3,1808.68
699.84,357.66,1057.5,0.996,2,1,3,3,2657.71
48.63,18.13,66.76,0.911,7,1,2,1,130.29
1090.71,339.03,1429.74,0.914,8,2,6,1,2295.41
616.53,268.63,885.16,1.067,2,2,1,0,1651.31
194.75,77.37,272.12,0.925,5,1,1,2,620.73
667.66,255.04,922.6999999999999,0.963,2,0,5,2,2377.61
162.37,50.43,212.8,1.034,9,2,1,0,343.69
746.37,410.43,1156.8,1.155,10,1,6,3,2618.05
349.2,152.98,502.17999999999995,0.936,9,1,1,2,1084.53
336.08,203.48,539.56,0.97,4,1,5,1,911.32
72.4,26.99,99.39,1.077,3,1,0,3,200.95
78.31,30.32,108.63,0.958,7,2,6,0,179.97
614.73,352.41,967.1400000000001,0.913,10,2,4,0,1775.95
186.95,86.39,273.34,1.089,6,0,3,3,786.82
616.42,250.64,867.06,1.077,8,2,2,0,1773.82
152.61,101.6,254.21,1.034,9,1,3,0,560.8
116.28,43.46,159.74,0.976,3,1,6,2,260.23
279.91,123.8,403.71000000000004,0.831,5,2,4,1,674.23
775.98,528.93,1304.9099999999999,1.043,8,1,2,3,3208.0
383.58,206.38,589.96,0.983,2,2,5,1,859.25
331.27,113.51,444.78,1.056,0,1,6,0,912.67
101.79,49.25,151.04000000000002,0.911,7,1,4,1,251.58
181.64,97.38,279.02,0.953,9,0,5,1,651.03
385.07,184.22,569.29,1.056,0,3,4,0,1840.37
354.85,246.64,601.49,0.963,2,2,3,2,1100.25
80.02,39.15,119.16999999999999,0.95,3,1,3,1,193.86
213.41,100.03,313.44,0.891,6,0,0,2,836.53
697.35,219.53,916.88,0.991,10,0,6,1,2242.88
548.25,280.76,829.01,1.143,5,1,4,3,2044.81
947.39,583.87,1531.26,0.98,8,2,1,2,2634.22
363.0,169.52,532.52,1.062,9,1,4,3,1236.61
258.68,174.77,433.45000000000005,1.034,9,2,1,0,792.38
406.25,127.98,534.23,1.043,8,2,4,3,1085.42
