category,season,trend_multiplier
bags_accessories,Diwali,1.056
bags_accessories,Regular,0.902
bags_accessories,Summer_Festival,0.875
bags_accessories,Wedding,1.172
bamboo_cane,Diwali,1.09
bamboo_cane,Regular,0.863
bamboo_cane,Summer_Festival,0.906
bamboo_cane,Wedding,1.164
dress,Diwali,1.067
dress,Regular,0.983
dress,Summer_Festival,0.963
dress,Wedding,0.996
handmade_food,Diwali,0.987
handmade_food,Regular,0.95
handmade_food,Summer_Festival,0.976
handmade_food,Wedding,1.077
home_decor,Diwali,1.002
home_decor,Regular,0.97
home_decor,Summer_Festival,0.962
home_decor,Wedding,1.065
jewelry,Diwali,1.021
jewelry,Regular,0.831
jewelry,Summer_Festival,0.925
jewelry,Wedding,1.143
metalwork,Diwali,1.079
metalwork,Regular,0.963
metalwork,Summer_Festival,0.891
metalwork,Wedding,1.089
pottery,Diwali,0.958
pottery,Regular,0.911
pottery,Summer_Festival,0.962
pottery,Wedding,1.14
sarees,Diwali,1.077
sarees,Regular,0.914
sarees,Summer_Festival,0.98
sarees,Wedding,1.043
textile,Diwali,1.034
textile,Regular,0.953
textile,Summer_Festival,0.936
textile,Wedding,1.062
woodwork,Diwali,0.913
woodwork,Regular,0.991
woodwork,Summer_Festival,0.972
woodwork,Wedding,1.155
